Unnamed: 0,Year,Rank,Title,Artist,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
33,2012,34,As Long as You Love Me,Justin Bieber feat Big Sean,3g7k6CQy0CXn7k4OaZOGvr,0,0.597,0.517,0,-8.99,0,0.0387,0.0034,0.887,0.119,0.344,140.014,audio_features,3g7k6CQy0CXn7k4OaZOGvr,spotify:track:3g7k6CQy0CXn7k4OaZOGvr,https://api.spotify.com/v1/tracks/3g7k6CQy0CXn7k4OaZOGvr,https://api.spotify.com/v1/audio-analysis/3g7k6CQy0CXn7k4OaZOGvr,223777,4
34,2012,35,Turn Me On,David Guetta feat Nicki Minaj,6JOlNkT0QdHeZB0wPbI9IR,56,0.705,0.794,8,-2.266,1,0.0593,0.0488,0.0,0.575,0.412,127.961,audio_features,6JOlNkT0QdHeZB0wPbI9IR,spotify:track:6JOlNkT0QdHeZB0wPbI9IR,https://api.spotify.com/v1/tracks/6JOlNkT0QdHeZB0wPbI9IR,https://api.spotify.com/v1/audio-analysis/6JOlNkT0QdHeZB0wPbI9IR,199680,4
35,2012,36,Moves like Jagger,Maroon 5 feat Christina Aguilera,1FL90t9Am6vyR4xwshCV41,10,0.839,0.694,6,-4.174,0,0.187,0.148,0.0,0.0583,0.658,128.083,audio_features,1FL90t9Am6vyR4xwshCV41,spotify:track:1FL90t9Am6vyR4xwshCV41,https://api.spotify.com/v1/tracks/1FL90t9Am6vyR4xwshCV41,https://api.spotify.com/v1/audio-analysis/1FL90t9Am6vyR4xwshCV41,135042,4
36,2012,37,Blow Me (One Last Kiss),Pink,4k80K0b6KZ2QjAYkXON7q6,64,0.597,0.919,7,-2.954,1,0.0439,0.000145,0.0,0.282,0.729,113.991,audio_features,4k80K0b6KZ2QjAYkXON7q6,spotify:track:4k80K0b6KZ2QjAYkXON7q6,https://api.spotify.com/v1/tracks/4k80K0b6KZ2QjAYkXON7q6,https://api.spotify.com/v1/audio-analysis/4k80K0b6KZ2QjAYkXON7q6,255587,4
37,2012,38,Good Time,Owl City and Carly Rae Jepsen,3j2haa2KE5LB0Rhn7sMdkZ,18,0.686,0.549,2,-5.424,1,0.0301,0.0236,0.0,0.304,0.8,124.926,audio_features,3j2haa2KE5LB0Rhn7sMdkZ,spotify:track:3j2haa2KE5LB0Rhn7sMdkZ,https://api.spotify.com/v1/tracks/3j2haa2KE5LB0Rhn7sMdkZ,https://api.spotify.com/v1/audio-analysis/3j2haa2KE5LB0Rhn7sMdkZ,174983,4
38,2012,39,Give Your Heart a Break,Demi Lovato,3sP3c86WFjOzHHnbhhZcLA,68,0.651,0.695,6,-3.218,1,0.0487,0.23,0.0,0.144,0.569,123.008,audio_features,3sP3c86WFjOzHHnbhhZcLA,spotify:track:3sP3c86WFjOzHHnbhhZcLA,https://api.spotify.com/v1/tracks/3sP3c86WFjOzHHnbhhZcLA,https://api.spotify.com/v1/audio-analysis/3sP3c86WFjOzHHnbhhZcLA,205347,4
39,2012,40,Niggas in Paris,Jay-Z and Kanye West,1kfGkqNAGpiPGfst4Ln7m6,25,0.834,0.22,0,-16.99,1,0.412,0.167,0.0748,0.335,0.887,139.115,audio_features,1kfGkqNAGpiPGfst4Ln7m6,spotify:track:1kfGkqNAGpiPGfst4Ln7m6,https://api.spotify.com/v1/tracks/1kfGkqNAGpiPGfst4Ln7m6,https://api.spotify.com/v1/audio-analysis/1kfGkqNAGpiPGfst4Ln7m6,158826,4
40,2012,41,The One That Got Away,Katy Perry,6hkOqJ5mE093AQf2lbZnsG,71,0.691,0.795,1,-4.021,0,0.0355,0.000812,1.02e-06,0.156,0.876,133.971,audio_features,6hkOqJ5mE093AQf2lbZnsG,spotify:track:6hkOqJ5mE093AQf2lbZnsG,https://api.spotify.com/v1/tracks/6hkOqJ5mE093AQf2lbZnsG,https://api.spotify.com/v1/audio-analysis/6hkOqJ5mE093AQf2lbZnsG,227333,4
41,2012,42,Feel So Close,Calvin Harris,1gihuPhrLraKYrJMAEONyc,77,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,audio_features,1gihuPhrLraKYrJMAEONyc,spotify:track:1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/tracks/1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/audio-analysis/1gihuPhrLraKYrJMAEONyc,206413,4
42,2012,43,Someone like You,Adele,1zwMYTA5nlNjZxYrvBB2pV,76,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,audio_features,1zwMYTA5nlNjZxYrvBB2pV,spotify:track:1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/tracks/1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/audio-analysis/1zwMYTA5nlNjZxYrvBB2pV,285240,4
